# data/codebooks/_SER/eps_0.0005_M_0016.cbook:
# P=36  size=16  className='_'
k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,k21,k22,k23,k24,k25,k26,k27,k28,k29,k30,k31,k32,k33,k34,k35,k36
0.57737,-0.155761,0.0583884,0.202409,0.00398757,0.0372285,0.059205,-0.0906385,-0.10245,-0.0323393,-0.0432657,-0.0354668,0.0076825,0.000672929,-0.0155212,0.00470578,0.0183476,0.0255346,0.0529311,0.0735995,0.0773518,0.0791676,0.0791335,0.0741486,0.0756613,0.0760066,0.0715586,0.0684129,0.0687323,0.0695893,0.0685965,0.0638865,0.0552272,0.0524426,0.050067,0.042882
0.589967,0.0117443,0.230776,0.121246,-0.254568,-0.146425,0.0379457,-0.0476873,-0.0861057,-0.0115702,0.0145637,0.0163356,0.0357391,0.030724,0.029737,0.0808713,0.11745,0.10982,0.109328,0.111669,0.0952739,0.0987168,0.120661,0.109787,0.0771857,0.074994,0.0938561,0.0777022,0.037241,0.0274314,0.049349,0.0561566,0.0388133,0.0219773,0.0234697,0.036537
0.655541,-0.233916,-0.177158,0.148611,-0.0340548,-0.0945478,0.0321551,-0.0217847,0.0118384,0.201468,0.230717,0.148735,0.116277,0.0484178,-0.0445418,-0.0114279,0.0497598,0.0264076,0.0496895,0.104147,-0.0244622,-0.2286,-0.163729,0.110951,0.204589,0.135349,0.136198,0.169775,0.144868,0.137029,0.166886,0.146267,0.0966907,0.0894525,0.105119,0.100369
0.616451,-0.34475,-0.322593,0.0183092,-0.0559649,-0.0222004,0.165919,0.123741,0.0569859,0.136999,0.160345,0.110418,0.114281,0.130045,0.113505,0.116134,0.12271,0.0956958,0.0657065,0.0566246,0.0484832,0.0370413,0.0259155,0.00917362,-0.00825462,-0.0120462,-0.000282083,0.0267354,0.0616844,0.0847167,0.0880586,0.0889998,0.0874299,0.0811867,0.073384,0.0670737
0.435547,-0.0306421,0.119318,0.00853242,0.059044,0.272903,0.219605,0.101489,0.145746,0.129658,0.0460209,0.0489666,0.0740448,0.077395,0.0973848,0.101743,0.0704513,0.0634169,0.0658265,0.0519997,0.0521907,0.061524,0.0580977,0.0529916,0.0548899,0.0509213,0.042562,0.0354077,0.0295755,0.0330465,0.0323374,0.0223479,0.0197145,0.0207777,0.0142458,0.0104503
0.682017,-0.159331,-0.141834,0.150165,-0.00725955,-0.0272056,0.144173,0.145889,0.119186,0.114121,0.0924539,0.172167,0.234868,0.164043,0.133367,0.207034,0.251139,0.284684,0.305435,0.112237,-0.197133,-0.204143,0.0059435,0.0575249,0.00159897,0.0255934,0.0249952,-0.0479734,-0.0734486,-0.024853,0.0173249,0.0193242,0.0138673,0.0230432,0.0385933,0.0446854
0.627993,0.153878,0.321631,0.143928,-0.0814368,0.228244,0.314475,0.0116725,0.0274648,0.389995,0.411485,-0.0328007,-0.221234,0.0607295,0.140424,-0.0183377,-0.0286849,-0.0506479,-0.130347,0.02714,0.228941,0.199097,0.07932,0.0114861,-0.0280628,-0.0885383,-0.113097,0.00776767,0.118835,0.0536581,0.016913,0.0823863,0.0446342,-0.0530415,-0.0583424,-0.000277444
0.610068,0.0731011,0.199738,0.084549,-0.0169577,0.260207,0.244841,0.0192947,0.196193,0.372047,0.0843622,-0.136606,0.11274,0.298841,0.139931,-0.083955,-0.0724216,0.0739675,0.134651,0.14218,0.122143,-0.0187659,-0.152785,-0.136223,-0.140218,-0.135818,0.0926563,0.262873,0.148218,0.0709804,0.110213,0.0170144,-0.0564138,0.00794975,-0.00452121,-0.0884778
0.630708,-0.0428448,0.0226797,0.0952451,0.0465815,0.226493,0.263456,0.114988,0.11441,0.136904,0.0453193,0.0203971,0.0628403,0.0562301,0.0502807,0.0673778,0.049343,0.0318707,0.0431361,0.0402089,0.030862,0.0348457,0.0355315,0.0339971,0.0390764,0.0383229,0.0295268,0.0212736,0.0141926,0.0124645,0.0140731,0.0094683,0.00680428,0.0100807,0.0112378,0.0125056
0.779061,0.11432,-0.0839272,0.127999,0.0798258,0.11461,0.243078,0.158691,0.0625823,0.0942344,0.0638152,0.00452777,0.03695,0.067782,0.0548041,0.0631138,0.0715662,0.0531153,0.0469158,0.0498907,0.0395861,0.0316257,0.034722,0.0332801,0.029175,0.0242994,0.016544,0.0108344,0.0119913,0.0146536,0.0128016,0.00966567,0.00722419,0.0038733,0.00222408,0.00510446
0.800267,0.159179,-0.0758442,0.182137,0.0986083,0.00689861,0.165815,0.158968,0.0279263,0.0575817,0.103354,0.0413444,0.0105225,0.0245272,0.00518894,0.00336951,0.0373628,0.0436161,0.0292771,0.0352659,0.0416498,0.035666,0.0328115,0.0327131,0.0277065,0.0267247,0.0291571,0.0277034,0.024047,0.0211327,0.0165813,0.011797,0.0119301,0.0134293,0.0144668,0.0146656
0.857219,0.375504,-0.113577,0.0576021,0.139162,0.0236387,0.123895,0.201404,0.0791242,0.0301189,0.0798047,0.0407227,-0.00869294,0.0294867,0.0512325,0.0265064,0.0305736,0.046815,0.0318016,0.0177234,0.0235673,0.0231228,0.0159463,0.0187432,0.0241409,0.0227301,0.021612,0.022982,0.0208684,0.0167402,0.0135817,0.0115482,0.00896401,0.0072234,0.00524285,0.00455774
0.778224,-0.0346863,-0.284313,0.12758,0.143191,-0.0228938,0.0678539,0.0732636,-0.0578786,-0.0238641,0.0697799,0.0413586,0.00618108,0.0183128,-0.0143291,-0.0606446,-0.0639112,-0.0703656,-0.0872356,-0.0685473,-0.0375959,-0.0356346,-0.0357545,-0.019552,-0.00239084,0.00929164,0.0241733,0.0395674,0.0451631,0.0484067,0.0484725,0.0469489,0.0445127,0.0389952,0.0302371,0.0183739
0.844419,0.25645,-0.245336,-0.0234073,0.0413877,-0.127122,-0.0328642,0.0683817,-0.0504698,-0.0917538,-0.00424153,-0.00430396,-0.0387243,0.00377125,0.0373534,0.0245259,0.0382319,0.0649756,0.0592835,0.0512492,0.0616884,0.0665804,0.0599215,0.0591585,0.0587396,0.0530729,0.0485861,0.0486422,0.0466819,0.0415683,0.0370949,0.0334755,0.0295814,0.0268966,0.0259973,0.0234259
0.876327,0.483481,-0.09731,-0.00209829,0.152154,-0.0202652,0.00105359,0.17225,0.0993072,-0.0288513,0.02547,0.0599369,-0.00910389,-0.00941208,0.0457779,0.0398444,0.0250209,0.0531679,0.0605941,0.035713,0.031655,0.0405516,0.0299375,0.0194772,0.0243837,0.0258215,0.0184333,0.0161172,0.0173116,0.0137283,0.0101532,0.0108995,0.0122805,0.0112846,0.0105258,0.0113799
0.883601,0.561098,0.00501948,0.0290816,0.196392,0.0342613,-0.0179718,0.127112,0.107394,-0.000661738,0.0257918,0.0595755,0.00737844,-0.00640641,0.0273828,0.0155752,-0.0090254,0.00745325,0.021018,0.00763801,0.00496065,0.016674,0.0142951,0.00497236,0.00615885,0.00790139,0.00297087,-1.95561e-05,0.000898215,0.000749846,-0.00217674,-0.00498024,-0.00640845,-0.00942475,-0.0121058,-0.0123596

