# data/codebooks/_/eps_0.0005_M_0016.cbook:
# P=36  size=16  className='_'
k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,k21,k22,k23,k24,k25,k26,k27,k28,k29,k30,k31,k32,k33,k34,k35,k36
0.479269,-0.148548,0.0267442,-0.0163706,-0.0682958,0.11902,0.0831427,-0.0543874,-0.00899047,0.0193178,-0.016512,0.0135902,0.0461942,0.0435599,0.0652203,0.0920829,0.0913577,0.0965118,0.104679,0.0948146,0.0880828,0.0880627,0.0812632,0.0782751,0.0819962,0.0773652,0.0667658,0.0588227,0.0483007,0.038688,0.0349206,0.029113,0.0209644,0.0190656,0.0170278,0.0157504
0.649275,-0.182204,-0.083538,0.188482,-0.0282444,-0.104582,-0.0308209,-0.0826239,0.00166126,0.176753,0.170903,0.113751,0.117809,0.0470085,-0.0247624,0.0796842,0.190033,0.15529,0.123378,0.165108,0.166716,0.113279,0.0980281,0.111051,0.0799837,0.0491395,0.0619283,0.0608117,0.00609324,-0.039028,-0.0323301,-0.0174205,-0.0213767,-0.00134227,0.0445959,0.0595382
0.458903,-0.040893,0.107812,0.0168469,0.0549527,0.272864,0.229649,0.101887,0.139286,0.127531,0.0417933,0.0412377,0.0688715,0.0721902,0.0920996,0.0997099,0.0677625,0.0574117,0.0616414,0.0497323,0.0514031,0.0634412,0.0602451,0.0553115,0.0587963,0.0522692,0.039341,0.0353675,0.0336377,0.0318004,0.0286956,0.0229194,0.0169035,0.0128292,0.00872374,0.00643089
0.553602,-0.198811,-0.0461068,0.0221179,-0.118931,0.0488808,0.12646,-0.0355588,0.0207216,0.191205,0.160699,0.119912,0.205009,0.305752,0.203023,-0.137446,-0.143347,0.218693,0.306122,0.190786,0.188344,0.163728,0.0788123,0.0953214,0.122211,0.0547954,0.0305219,0.0928339,0.0864802,0.0445742,0.0280802,-0.059683,-0.109627,-0.0337372,-0.00391217,-0.027513
0.711739,-0.00266237,-0.0506666,0.119366,0.0448576,0.149257,0.240587,0.107053,0.0574564,0.103169,0.0504368,0.0166897,0.0637253,0.07662,0.0719702,0.0978025,0.100481,0.0833048,0.0901757,0.0907177,0.0696948,0.0523438,0.0450646,0.0434894,0.0443133,0.032465,0.00926952,-0.00666208,-0.01296,-0.0162615,-0.0160357,-0.0129068,-0.00666564,-0.00281477,-0.000207607,0.00566093
0.781763,0.0520754,-0.196131,0.0746299,0.052118,0.0414087,0.189931,0.147393,0.0460461,0.0942365,0.116818,0.074745,0.0995774,0.141224,0.134228,0.134577,0.144454,0.123104,0.0880949,0.0503866,0.00593151,-0.00688461,0.0149406,0.019834,0.00211503,-0.0127136,-0.0219692,-0.0254117,-0.0132727,0.00432928,0.0143985,0.021994,0.0286026,0.0292622,0.0287362,0.0315971
0.62098,0.16045,0.327728,0.111814,-0.122509,0.202123,0.276899,-0.0145272,0.0605748,0.439577,0.456691,-0.0291042,-0.295784,-0.0196166,0.119189,0.0307415,0.114147,0.119161,-0.0464554,0.000409745,0.113841,0.0531916,-0.0169739,-0.0398951,-0.056595,-0.0591195,-0.0359694,0.0640145,0.132985,0.0598993,0.0174754,0.0925,0.0829454,-0.0182826,-0.0457944,0.0010437
0.662123,0.098991,0.165153,0.0761335,-0.0259006,0.283819,0.320699,0.0784535,0.237018,0.497701,0.228588,-0.284907,-0.210388,0.0846375,0.0439935,0.00506134,0.0842474,0.0475436,0.0318426,0.103163,0.120305,0.0632939,-0.0293447,-0.081315,-0.0639059,0.00565324,0.0845229,0.0667631,0.00226547,0.0369203,0.0560283,-0.0278033,-0.0372005,0.0442728,0.0298649,-0.045636
0.550513,-0.146757,0.117472,0.166319,-0.130031,-0.051933,0.0525359,-0.0987236,-0.145622,-0.0588891,-0.0336541,-0.0161116,0.0424188,0.0624444,0.0529892,0.0667471,0.0695987,0.0592354,0.0758598,0.0992101,0.0987278,0.0911492,0.0871757,0.0789589,0.0750532,0.0733657,0.0657908,0.0552373,0.0502964,0.0481405,0.0485376,0.044398,0.0341751,0.0272436,0.0233022,0.0151892
0.798879,0.0178539,-0.342361,-0.00809924,0.0249674,-0.130387,-0.0144384,0.0388774,-0.088848,-0.0770927,0.0314081,0.0294645,0.00877189,0.0488727,0.0560645,0.0319292,0.0434652,0.0585054,0.0467942,0.042356,0.0525216,0.0500232,0.0416751,0.0396092,0.0364472,0.0295585,0.0267559,0.0273007,0.0246122,0.0221344,0.0192115,0.0155424,0.0120365,0.00953171,0.00661189,0.00194721
0.756948,0.0463346,-0.0727598,0.174858,0.0582028,0.0302282,0.17085,0.0968885,-0.0163933,0.026239,0.0357477,-0.011918,-0.0009367,0.0129793,-0.0103201,-0.00537609,0.0142734,0.0100628,0.0117121,0.0270984,0.0330309,0.034848,0.0386603,0.0362861,0.0331705,0.0374228,0.0426012,0.0459808,0.0505074,0.0521115,0.0473164,0.0416352,0.0383768,0.0373859,0.0395283,0.0401563
0.836259,0.283189,-0.0953574,0.12651,0.120917,0.00212449,0.131992,0.166813,0.0361877,0.0354174,0.0878655,0.0310899,-0.00943972,0.0196793,0.0156139,-0.00168419,0.0241811,0.0451125,0.036443,0.0356565,0.0404873,0.0311819,0.0218836,0.0231837,0.025239,0.0260873,0.0294352,0.0299606,0.0254133,0.0189651,0.012331,0.00679513,0.00474814,0.00558532,0.00602944,0.00601467
0.874822,0.478871,-0.0902361,0.0123264,0.169337,0.0114693,0.0270498,0.171478,0.0996589,-0.00721444,0.0403647,0.0567062,-0.00637425,-0.00103136,0.0412582,0.0264503,0.0121985,0.0354166,0.0381488,0.0176306,0.0172599,0.0255318,0.0186224,0.0130172,0.0178431,0.0186706,0.013482,0.0121715,0.0122866,0.00941855,0.00656452,0.00580904,0.00531475,0.00416573,0.00379272,0.0042343
0.885737,0.57403,0.00537728,-0.0275382,0.0962291,-0.0615347,-0.0669884,0.110479,0.0916993,-0.0240341,-0.00943355,0.00723919,-0.0422873,-0.033049,0.0170807,0.0177815,0.00791368,0.0264332,0.0302472,0.0126918,0.0092271,0.0168657,0.011861,0.00555718,0.00721036,0.0066269,0.00198402,0.00111152,0.00248615,0.00178651,-0.00167581,-0.00244204,-0.0010405,-0.00351801,-0.00511155,-0.00397882
0.679328,0.0937301,0.219096,0.265677,-0.0112063,0.0149626,0.181946,0.268589,0.335848,0.14267,-0.14464,-0.00577403,0.227534,0.108465,-0.0408623,0.0511781,0.108954,0.0447447,0.0308401,0.0277045,-0.0457998,-0.112171,-0.109627,-0.0121666,0.132539,0.190247,0.144789,0.049617,-0.056962,-0.0551015,0.0165956,-0.0125623,-0.0724976,-0.0286497,0.0334683,0.0230075
0.744712,0.144662,0.142451,0.263531,0.0382925,0.0977,0.395436,0.378708,0.00668565,-0.201619,0.00170285,0.123644,-0.0116825,0.0112175,0.150911,0.0909355,-0.0106314,0.02417,0.0179159,-0.0557637,-0.0331619,0.0574107,0.0929363,0.0711104,0.00698725,-0.0503867,-5.54972e-05,0.0602677,0.0202571,-0.0041405,0.0381165,0.0207122,-0.0499888,-0.0511547,0.0223533,0.066623

